unit,sex,age,region,year,value
YR,F,Y1,UK,2018,82.3
YR,F,Y10,UK,2018,73.4
YR,F,Y11,UK,2018,72.4
YR,F,Y12,UK,2018,71.4
YR,F,Y13,UK,2018,70.4
YR,F,Y14,UK,2018,69.4
YR,F,Y15,UK,2018,68.4
YR,F,Y16,UK,2018,67.4
YR,F,Y17,UK,2018,66.5
YR,F,Y18,UK,2018,65.5
YR,F,Y19,UK,2018,64.5
YR,F,Y2,UK,2018,81.4
YR,F,Y20,UK,2018,63.5
YR,F,Y21,UK,2018,62.5
YR,F,Y22,UK,2018,61.5
YR,F,Y23,UK,2018,60.5
YR,F,Y24,UK,2018,59.6
YR,F,Y25,UK,2018,58.6
YR,F,Y26,UK,2018,57.6
YR,F,Y27,UK,2018,56.6
YR,F,Y28,UK,2018,55.6
YR,F,Y29,UK,2018,54.6
YR,F,Y3,UK,2018,80.4
YR,F,Y30,UK,2018,53.6
YR,F,Y31,UK,2018,52.7
YR,F,Y32,UK,2018,51.7
YR,F,Y33,UK,2018,50.7
YR,F,Y34,UK,2018,49.7
YR,F,Y35,UK,2018,48.8
YR,F,Y36,UK,2018,47.8
YR,F,Y37,UK,2018,46.8
YR,F,Y38,UK,2018,45.9
YR,F,Y39,UK,2018,44.9
YR,F,Y4,UK,2018,79.4
YR,F,Y40,UK,2018,43.9
YR,F,Y41,UK,2018,43.0
YR,F,Y42,UK,2018,42.0
YR,F,Y43,UK,2018,41.0
YR,F,Y44,UK,2018,40.1
YR,F,Y45,UK,2018,39.1
YR,F,Y46,UK,2018,38.2
YR,F,Y47,UK,2018,37.3
YR,F,Y48,UK,2018,36.3
YR,F,Y49,UK,2018,35.4
YR,F,Y5,UK,2018,78.4
YR,F,Y50,UK,2018,34.5
YR,F,Y51,UK,2018,33.5
YR,F,Y52,UK,2018,32.6
YR,F,Y53,UK,2018,31.7
YR,F,Y54,UK,2018,30.8
YR,F,Y55,UK,2018,29.9
YR,F,Y56,UK,2018,29.0
YR,F,Y57,UK,2018,28.1
YR,F,Y58,UK,2018,27.2
YR,F,Y59,UK,2018,26.3
